unit,unit_id,unit_count,opponent,opponent_id,opponent_count,kills,deaths,kill_rate,death_rate,kdr,status
Legionary,1,250,Darkhan,2,250,217,96,0.87,38.4,2.26,Win
Legionary,1,250,Darkhan,2,250,216,87,0.86,34.8,2.48,Win
Legionary,1,250,Darkhan,2,250,207,70,0.83,28,2.96,Win
Legionary,1,250,Darkhan,2,250,234,36,0.94,14.4,6.5,Win
Legionary,1,250,Darkhan,2,250,239,44,0.96,17.6,5.43,Win
Legionary,1,250,Darkhan,2,250,199,50,0.8,20,3.98,Win
Legionary,1,250,Darkhan,2,250,213,32,0.85,12.8,6.66,Win
Legionary,1,250,Darkhan,2,250,198,115,0.79,46,1.72,Win
Legionary,1,250,Darkhan,2,250,199,84,0.8,33.6,2.37,Win
Legionary,1,250,Darkhan,2,250,196,123,0.78,49.2,1.59,Win
Legionary,1,250,Sergeant,3,250,172,77,0.69,30.8,2.23,Win
Legionary,1,250,Sergeant,3,250,234,162,0.94,64.8,1.44,Win
Legionary,1,250,Sergeant,3,250,221,139,0.88,55.6,1.59,Win
Legionary,1,250,Sergeant,3,250,204,114,0.82,45.6,1.79,Win
Legionary,1,250,Sergeant,3,250,220,156,0.88,62.4,1.41,Win
Legionary,1,250,Sergeant,3,250,216,98,0.86,39.2,2.2,Win
Legionary,1,250,Sergeant,3,250,212,103,0.85,41.2,2.06,Win
Legionary,1,250,Sergeant,3,250,192,104,0.77,41.6,1.85,Win
Legionary,1,250,Sergeant,3,250,197,78,0.79,31.2,2.53,Win
Legionary,1,250,Sergeant,3,250,192,134,0.77,53.6,1.43,Win
Legionary,1,250,Oathsworn,4,250,195,47,0.78,18.8,4.15,Win
Legionary,1,250,Oathsworn,4,250,189,55,0.76,22,3.44,Win
Legionary,1,250,Oathsworn,4,250,191,62,0.76,24.8,3.08,Win
Legionary,1,250,Oathsworn,4,250,203,53,0.81,21.2,3.83,Win
Legionary,1,250,Oathsworn,4,250,194,43,0.78,17.2,4.51,Win
Legionary,1,250,Oathsworn,4,250,213,39,0.85,15.6,5.46,Win
Legionary,1,250,Oathsworn,4,250,219,41,0.88,16.4,5.34,Win
Legionary,1,250,Oathsworn,4,250,221,31,0.88,12.4,7.13,Win
Legionary,1,250,Oathsworn,4,250,218,103,0.87,41.2,2.12,Win
Legionary,1,250,Oathsworn,4,250,207,35,0.83,14,5.91,Win
Legionary,1,250,Wildling,5,250,223,27,0.89,10.8,8.26,Win
Legionary,1,250,Wildling,5,250,201,48,0.8,19.2,4.19,Win
Legionary,1,250,Wildling,5,250,203,35,0.81,14,5.8,Win
Legionary,1,250,Wildling,5,250,219,33,0.88,13.2,6.64,Win
Legionary,1,250,Wildling,5,250,220,26,0.88,10.4,8.46,Win
Legionary,1,250,Wildling,5,250,191,30,0.76,12,6.37,Win
Legionary,1,250,Wildling,5,250,185,26,0.74,10.4,7.12,Win
Legionary,1,250,Wildling,5,250,198,37,0.79,14.8,5.35,Win
Legionary,1,250,Wildling,5,250,203,22,0.81,8.8,9.23,Win
Legionary,1,250,Wildling,5,250,205,31,0.82,12.4,6.61,Win
Legionary,1,250,Heavy Spearmen,6,250,234,110,0.94,44,2.13,Win
Legionary,1,250,Heavy Spearmen,6,250,227,99,0.91,39.6,2.29,Win
Legionary,1,250,Heavy Spearmen,6,250,233,61,0.93,24.4,3.82,Win
Legionary,1,250,Heavy Spearmen,6,250,225,77,0.9,30.8,2.92,Win
Legionary,1,250,Heavy Spearmen,6,250,195,70,0.78,28,2.79,Win
Legionary,1,250,Heavy Spearmen,6,250,188,117,0.75,46.8,1.61,Win
